영화이름,남자,여자,남자비율,여자비율,남자주연,여자주연,남자주연비율,여자주연비율,남자조연,여자조연,남자조연비율,여자조연비율,매출액,관객수,스크린수,상영횟수
부산행,7,5,0.583333333,0.416666667,6,3,0.666666667,0.333333333,1,2,0.333333333,0.666666667,93178283048,11565479,1788,151315
괴물,9,3,0.75,0.25,3,2,0.6,0.4,6,1,0.857142857,0.142857143,66715713300,10917153,647,113073
왕의 남자,7,1,0.875,0.125,3,1,0.75,0.25,4,0,1,0,61605851900,9793917,313,106179
밀정,7,1,0.875,0.125,2,0,1,0,5,1,0.833333333,0.166666667,61269783831,7500420,1444,138161
써니,3,16,0.157894737,0.842105263,0,11,0,1,3,5,0.375,0.625,54035565100,7362657,546,149135
베를린,12,2,0.857142857,0.142857143,4,1,0.8,0.2,8,1,0.888888889,0.111111111,52355568637,7166290,894,111744
터널,8,2,0.8,0.2,2,1,0.666666667,0.333333333,6,1,0.857142857,0.142857143,57529484417,7120508,1105,113201
곡성,9,5,0.642857143,0.357142857,3,2,0.6,0.4,6,3,0.666666667,0.333333333,55863520382,6879908,1485,130322
화려한 휴가,11,2,0.846153846,0.153846154,3,1,0.75,0.25,8,1,0.888888889,0.111111111,44098449600,6855300,551,96522
늑대소년,6,7,0.461538462,0.538461538,1,1,0.5,0.5,5,6,0.454545455,0.545454545,46590107000,6654390,854,109069
판도라,34,6,0.85,0.15,3,3,0.5,0.5,31,3,0.911764706,0.088235294,33955398164,4313864,1184,90758
말아톤,4,1,0.8,0.2,1,1,0.5,0.5,3,0,1,0,26284943000,4196840,238,59493
건축학개론,8,3,0.727272727,0.272727273,2,2,0.5,0.5,6,1,0.857142857,0.142857143,30222696000,4111068,593,106067
댄싱퀸,8,8,0.5,0.5,1,1,0.5,0.5,7,7,0.5,0.5,30130775500,4058225,544,80987
7급 공무원,9,2,0.818181818,0.181818182,1,1,0.5,0.5,8,1,0.888888889,0.111111111,26380710000,4039891,475,90779
신의 한 수,17,4,0.80952381,0.19047619,4,1,0.8,0.2,13,3,0.8125,0.1875,28812027456,3566852,794,77109
미녀는 괴로워,15,9,0.625,0.375,2,3,0.4,0.6,12,6,0.666666667,0.333333333,18919439500,3224865,418,36689
공공의 적,9,0,1,0,2,0,1,0,7,0,1,0,20091127000,3134421,299,40642
친절한 금자씨,5,5,0.5,0.5,1,1,0.5,0.5,4,4,0.5,0.5,20483051393,3119682,386,41438
태풍,10,1,0.909090909,0.090909091,3,1,0.75,0.25,7,0,1,0,19372557600,3035086,481,36678
바르게 살자,14,4,0.777777778,0.222222222,2,0,1,0,12,4,0.75,0.25,13944930000,2135606,372,55993
극락도 살인사건,11,2,0.846153846,0.153846154,2,1,0.666666667,0.333333333,9,1,0.9,0.1,13328932000,2079989,368,54098
박수칠 때 떠나라,12,5,0.705882353,0.294117647,2,0,1,0,10,5,0.666666667,0.333333333,13181626500,2073641,237,32149
눈에는 눈 이에는 이,13,0,1,0,2,0,1,0,10,0,1,0,13410811500,2058616,445,46474
세븐 데이즈,12,4,0.75,0.25,1,2,0.333333333,0.666666667,11,2,0.846153846,0.153846154,13642111000,2036035,305,46693
광식이 동생 광태,4,3,0.571428571,0.428571429,3,2,0.6,0.4,1,1,0.5,0.5,12808604009,2024424,276,35674
사랑,6,1,0.857142857,0.142857143,2,1,0.666666667,0.333333333,4,0,1,0,13446137500,2023174,381,54789
용의자,33,4,0.891891892,0.108108108,10,2,0.833333333,0.166666667,22,2,0.916666667,0.083333333,15629492500,2176752,807,26814
그림자 살인,9,3,0.75,0.25,3,1,0.75,0.25,6,2,0.75,0.25,12659065000,1892467,387,54046
연애의 온도,5,5,0.5,0.5,1,1,0.5,0.5,5,3,0.625,0.375,13798864446,1865195,567,57847
간첩,8,2,0.8,0.2,4,1,0.8,0.2,4,1,0.8,0.2,9316548500,1310895,576,41726
해바라기,5,2,0.714285714,0.285714286,1,2,0.333333333,0.666666667,4,0,1,0,7834688400,1304892,246,31829
허브,5,4,0.555555556,0.444444444,1,2,0.333333333,0.666666667,4,2,0.666666667,0.333333333,7644307000,1302952,267,30258
각설탕,11,4,0.733333333,0.266666667,1,1,0.5,0.5,10,3,0.769230769,0.230769231,7631785700,1265508,228,25009
중천,6,2,0.75,0.25,1,1,0.5,0.5,5,1,0.833333333,0.166666667,7481599100,1246836,402,23621
즐거운 인생,6,6,0.5,0.5,4,0,1,0,3,6,0.333333333,0.666666667,7872688500,1202351,322,39402
인사동 스캔들,6,4,0.6,0.4,1,1,0.5,0.5,5,3,0.625,0.375,7780811000,1187684,305,33106
웰컴 투 동막골,7,1,0.875,0.125,2,1,0.666666667,0.333333333,5,0,1,0,40328508500,6436508,356,72108
아저씨,8,3,0.727272727,0.272727273,1,1,0.5,0.5,7,2,0.777777778,0.222222222,47101332000,6178248,501,109853
변호인,12,3,0.8,0.2,4,1,0.8,0.2,8,2,0.8,0.2,40953398000,5687047,923,55006
타짜,12,3,0.8,0.2,3,1,0.75,0.25,9,2,0.818181818,0.181818182,36180800700,5685441,492,76872
숨바꼭질,13,8,0.619047619,0.380952381,1,2,0.333333333,0.666666667,12,6,0.666666667,0.333333333,39602977500,5604103,779,88062
감시자들,20,5,0.8,0.2,2,1,0.666666667,0.333333333,17,4,0.80952381,0.19047619,39380162179,5508017,949,100309
추격자,6,3,0.666666667,0.333333333,2,0,1,0,4,3,0.571428571,0.428571429,33986959000,5046096,433,106805
신세계,11,2,0.846153846,0.153846154,3,0,1,0,8,2,0.8,0.2,34881330905,4682492,671,90580
도가니,12,7,0.631578947,0.368421053,1,1,0.5,0.5,11,6,0.647058824,0.352941176,35566854800,4662822,756,88337
형,4,1,0.8,0.2,2,1,0.666666667,0.333333333,2,0,1,0,23113768293,2979659,993,83518
마더,9,6,0.6,0.4,1,1,0.5,0.5,8,5,0.615384615,0.384615385,19967362500,2979213,642,71401
식객,13,3,0.8125,0.1875,2,1,0.666666667,0.333333333,11,2,0.846153846,0.153846154,18972140500,2963196,406,67138
고지전,20,1,0.952380952,0.047619048,10,1,0.909090909,0.090909091,10,0,1,0,21968557600,2945137,585,53738
부당거래,19,1,0.95,0.05,4,0,1,0,15,1,0.9375,0.0625,20996302500,2722996,502,69703
위험한 상견례,5,5,0.5,0.5,2,2,0.5,0.5,3,3,0.5,0.5,19174920500,2595625,524,75068
의뢰인,16,6,0.727272727,0.272727273,3,0,1,0,13,6,0.684210526,0.315789474,17797042500,2393086,522,58414
박쥐,5,2,0.714285714,0.285714286,1,1,0.5,0.5,4,1,0.8,0.2,14835490500,2205600,499,45395
댄서의 순정,5,3,0.625,0.375,1,1,0.5,0.5,4,2,0.666666667,0.333333333,11674131000,1856759,240,36482
사생결단,5,1,0.833333333,0.166666667,2,0,1,0,3,1,0.75,0.25,10934307100,1724709,288,33257
우아한 거짓말,6,13,0.315789474,0.684210526,0,4,0,1,6,9,0.4,0.6,11728460300,1619188,573,57492
밀양,7,4,0.636363636,0.363636364,1,1,0.5,0.5,6,3,0.666666667,0.333333333,10266199000,1603799,305,41425
라디오 스타,10,2,0.833333333,0.166666667,2,0,1,0,8,2,0.8,0.2,9860721500,1590666,244,38926
실미도,60,0,1,0,4,0,1,0,56,0,1,0,9905232500,1559134,51,13460
잠복근무,4,2,0.666666667,0.333333333,2,2,0.5,0.5,2,0,1,0,9590415500,1533175,214,32266
작전,15,2,0.882352941,0.117647059,5,1,0.833333333,0.166666667,10,1,0.909090909,0.090909091,10086067500,1517096,393,50216
황해,11,5,0.6875,0.3125,4,2,0.666666667,0.333333333,7,3,0.7,0.3,11524115000,1497242,618,23295
더 게임,6,0,1,0,2,0,1,0,4,0,1,0,9807963501,1479859,338,31877
하루,8,5,0.615384615,0.384615385,3,0,1,0,5,5,0.5,0.5,9072737842,1129609,781,45808
간신,12,12,0.5,0.5,3,2,0.6,0.4,9,10,0.473684211,0.526315789,8946842910,1110246,697,40580
분홍신,1,3,0.25,0.75,1,1,0.5,0.5,0,2,0,1,6768135000,1072940,182,22227
미스터 소크라테스,11,0,1,0,4,0,1,0,7,0,1,0,6765653000,1066103,205,22921
주홍글씨,8,6,0.571428571,0.428571429,1,3,0.25,0.75,7,3,0.7,0.3,6648786000,1030259,190,18777
오직 그대만,6,2,0.75,0.25,1,1,0.5,0.5,5,1,0.833333333,0.166666667,7591008500,1027622,435,35365
파송송 계란탁,5,3,0.625,0.375,2,0,1,0,3,3,0.5,0.5,6292855500,1003026,155,21505
